iter	RMSE
0	5.917285095
1	4.842523804
2	4.068799869
3	3.53710052
4	3.06778267
5	2.751771902
6	2.457307468
7	2.231541401
8	2.07011618
9	1.935606544
10	1.82656374
11	1.750934835
12	1.698285328
13	1.651932822
14	1.623771845
15	1.584368732
16	1.542110778
17	1.518996282
18	1.49960099
19	1.477713915
20	1.455329537
21	1.446474859
22	1.431971915
23	1.41511392
24	1.400899216
25	1.380616964
26	1.369365654
27	1.354926053
28	1.341498275
29	1.333342072
30	1.326831631
31	1.320409424
32	1.305834231
33	1.298046984
34	1.283118136
35	1.267390562
36	1.256734036
37	1.244388246
38	1.23347354
39	1.217982842
40	1.21048534
41	1.202079783
42	1.197702375
43	1.187015767
44	1.177691963
45	1.168004074
46	1.154277991
47	1.140466784
48	1.133608766
49	1.131001456
50	1.126554548
51	1.113809518
52	1.100279522
53	1.091369292
54	1.082742843
55	1.078651246
56	1.07155961
57	1.069436824
58	1.066124411
59	1.057525677
60	1.053561033
61	1.046705927
62	1.041436124
63	1.035197128
64	1.021414365
65	1.01954682
66	1.015654974
67	1.009378837
68	0.9977343195
69	0.995830453
70	0.9849117756
71	0.9795529265
72	0.9693087385
73	0.9655461334
74	0.9588595282
75	0.9531327852
76	0.9466054785
77	0.9397776903
78	0.932582522
79	0.924296324
80	0.9182941117
81	0.9151928046
82	0.9125313568
83	0.9102743484
84	0.9088782901
85	0.9028136266
86	0.8970552901
87	0.893445664
88	0.8852006215
89	0.8808981667
90	0.8748871124
91	0.8666632875
92	0.857818501
93	0.8551309654
94	0.8507943609
95	0.849854478
96	0.8440965576
97	0.840421547
98	0.8349915885
99	0.8272356585
