iter	Passed	Remaining
0	146	14460
1	147	7248
2	149	4837
3	151	3633
4	153	2908
5	154	2424
6	156	2077
7	158	1822
8	160	1619
9	161	1455
10	163	1321
11	164	1209
12	166	1113
13	168	1032
14	169	961
15	171	899
16	173	846
17	175	797
18	176	752
19	178	712
20	179	675
21	181	642
22	182	611
23	184	582
24	185	556
25	186	532
26	189	511
27	190	490
28	192	470
29	193	451
30	195	434
31	196	417
32	198	402
33	199	387
34	201	373
35	202	360
36	204	348
37	206	336
38	208	325
39	209	314
40	211	304
41	213	294
42	215	285
43	216	276
44	218	267
45	221	259
46	222	251
47	224	243
48	225	235
49	227	227
50	229	220
51	230	213
52	232	206
53	234	199
54	236	193
55	238	187
56	239	180
57	241	174
58	242	168
59	244	162
60	245	157
61	247	151
62	249	146
63	251	141
64	253	136
65	255	131
66	256	126
67	258	121
68	259	116
69	261	112
70	262	107
71	264	102
72	266	98
73	267	94
74	269	89
75	271	85
76	272	81
77	274	77
78	275	73
79	276	69
80	278	65
81	279	61
82	281	57
83	283	53
84	284	50
85	286	46
86	288	43
87	289	39
88	290	35
89	292	32
90	294	29
91	295	25
92	297	22
93	299	19
94	300	15
95	302	12
96	303	9
97	305	6
98	306	3
99	308	0
