,suite_id,sample_id,code,value,character
10439,48,9,5,4,四
9236,3,6,4,3,三
818,82,8,10,9,九
11504,54,4,6,5,五
11722,74,2,6,5,五
5276,33,6,15,15,亿
6863,87,3,1,0,零
13463,50,3,8,7,七
10228,29,8,5,4,四
11462,50,2,6,5,五
10869,87,9,5,4,四
7086,16,6,2,1,一
1690,71,1,11,10,十
8430,48,1,3,2,二
6859,86,9,1,0,零
9607,63,7,4,3,三
7710,73,1,2,1,一
11780,8,1,6,5,五
13838,84,8,8,7,七
3955,95,5,13,13,千
13830,84,1,8,7,七
10134,20,4,5,4,四
3130,20,1,13,13,千
14237,3,7,9,8,八
14970,97,1,9,8,八
3243,30,3,13,13,千
4287,34,7,14,14,万
11486,52,6,6,5,五
10426,47,6,5,4,四
13607,63,7,8,7,七
12086,16,6,7,6,六
4132,20,2,14,14,万
1704,72,4,11,10,十
10080,16,1,5,4,四
8640,67,1,3,2,二
1533,57,3,11,10,十
1653,68,3,11,10,十
12200,27,1,7,6,六
5856,86,6,15,15,亿
8879,88,9,3,2,二
9273,33,3,4,3,三
800,81,1,10,9,九
14065,14,5,9,8,八
6672,7,2,1,0,零
6800,81,1,1,0,零
855,86,5,10,9,九
4972,97,2,14,14,万
10997,99,7,5,4,四
3954,95,4,13,13,千
1706,72,6,11,10,十
6924,92,4,1,0,零
8938,93,8,3,2,二
6958,95,8,1,0,零
12205,27,5,7,6,六
14903,90,3,9,8,八
4339,39,9,14,14,万
1666,69,6,11,10,十
10450,5,1,5,4,四
11737,75,7,6,5,五
6777,79,7,1,0,零
12234,3,4,7,6,六
13225,29,5,8,7,七
3386,43,6,13,13,千
14704,72,4,9,8,八
10771,79,10,5,4,四
8268,32,8,3,2,二
7847,85,7,2,1,一
4358,40,8,14,14,万
1599,62,9,11,10,十
5592,62,2,15,15,亿
4126,2,6,14,14,万
9036,11,6,4,3,三
2378,42,8,12,12,百
8337,39,7,3,2,二
2034,11,4,12,12,百
3270,33,1,13,13,千
